Time,Original_Signal,Filtered_Signal
0.0,-120.1267416481403,-5.173684040621849
0.01,-108.30353936032702,0.7824207239261134
0.02,-105.48033707251386,6.654245011630645
0.03,-97.65713478470059,12.357852937206914
0.04,-89.83393249688743,17.813271270945
0.05,-77.01073020907427,22.946187355276606
0.06,-68.187527921261,27.68947356154131
0.07,-67.36432563344783,31.98450883146939
0.08,-62.54112334563456,35.78227731228847
0.09,-61.7179210578214,39.04423330412648
0.1,-60.894718770008126,41.742929503168455
0.11,-54.071516482194966,43.862410696268824
0.12,-51.248314194381805,45.39837697836639
0.13,-51.42511190656853,46.358119367597915
0.14,-41.60190961875537,46.760227382302034
0.15,-38.7787073309421,46.63406435432497
0.16,-32.95550504312894,46.019003903177
0.17,-33.13230275531578,44.963421893131326
0.18,-26.309100467502503,43.523443635243545
0.19,-31.485898179689343,41.76145651716993
0.2,-27.66269589187607,39.74441305098566
0.21,-25.83949360406291,37.54196693802661
0.22,-35.01629131624975,35.224502800023664
0.23,-51.193089028436475,32.86113589170919
0.24,-49.369886740623315,30.517768485800122
0.25,-46.54668445281004,28.255292252217544
0.26,-47.72348216499688,26.12801952241356
0.27,-41.90027987718372,24.18241122385242
0.28,-42.07707758937045,22.45614760867335
0.29,-34.25387530155729,20.977562936979254
0.3,-31.430673013744013,19.765440531370686
0.31,-33.60747072593085,18.82914315907591
0.32,-32.78426843811758,18.169037657887518
0.33,-29.96106615030442,17.77716308368507
0.34,-31.13786386249126,17.63808827634251
0.35,-29.314661574677984,17.729906617797678
0.36,-29.491459286864824,18.025321409273275
0.37,-27.66825699905155,18.492783077064896
0.38,-24.84505471123839,19.09764773756049
0.39,-28.02185242342523,19.803334146235976
0.4,-24.198650135611956,20.572461709096626
0.41,-22.375447847798796,21.36795547091689
0.42,-15.552245559985522,22.154104722612043
0.43,-11.729043272172362,22.897560501473592
0.44,-10.905840984359202,23.56825461532148
0.45,-12.082638696545928,24.140219900460394
0.46,-9.259436408732768,24.592289097318215
0.47,-6.436234120919494,24.90864858010225
0.48,-3.6130318331063336,25.079223550314406
0.49,-0.7898295452931734,25.099873458550892
0.5,-0.9666272574798995,24.972380604004677
0.51,2.8565750303332607,24.704221227489622
0.52,-0.3202226818534655,24.308116865466115
0.53,2.5029796059596947,23.80137384942255
0.54,2.3261818937729686,23.20502991348602
0.55,5.149384181586129,22.542838045237033
0.56,2.972586469399289,21.84012807966857
0.57,3.795788757212563,21.122595248421327
0.58,6.618991045025723,20.415071194965623
0.59,6.442193332838997,19.74033618710629
0.6,-7.734604379347843,19.118030867986885
0.61,-0.9114020915346828,18.563721545730026
0.62,5.911800196278591,18.08816469947383
0.63,9.735002484091751,17.696804554802092
0.64,8.558204771905025,17.389523391821914
0.65,7.381407059718185,17.16064932454202
0.66,10.204609347531346,16.99921225377624
0.67,12.02781163534462,16.889426694862987
0.68,12.85101392315778,16.811370778848726
0.69,10.674216210971053,16.741824071608328
0.7,8.497418498784214,16.65522285800867
0.71,15.320620786597374,16.524689935511994
0.72,13.143823074410648,16.32309639431015
0.73,16.967025362223808,16.02411499442856
0.74,17.79022765003708,15.603228339386167
0.75,12.613429937850242,15.038659858759525
0.76,16.436632225663516,14.31220128417916
0.77,13.259834513476676,13.409916279342115
0.78,12.083036801289836,12.322705508279382
0.79,8.90623908910311,11.04672311576922
0.8,11.72944137691627,9.58363799725146
0.81,8.552643664729544,7.940735316040834
0.82,6.375845952542704,6.130854784604801
0.83,8.199048240355864,4.172162861234003
0.84,4.022250528169138,2.087757005447098
0.85,12.845452815982298,-0.0948976872566097
0.86,11.668655103795572,-2.344695051072628
0.87,6.4918573916087325,-4.627766699320906
0.88,3.3150596794218927,-6.9084933747768416
0.89,-2.8617380327648334,-9.150618521645352
0.9,-4.038535744951673,-11.318423109311762
0.91,-2.2153334571383994,-13.377911647980163
0.92,-14.39213116932524,-15.297953501013529
0.93,-17.568928881511965,-17.051322150316036
0.94,-8.745726593698805,-18.615578470751615
0.95,-9.922524305885645,-19.973752081170698
0.96,-11.099322018072371,-21.11478653733256
0.97,-5.276119730259211,-22.033728052927422
0.98,-12.452917442445937,-22.731651971428704
0.99,-5.629715154632777,-23.21533507268434
1.0,-8.806512866819617,-23.49669426695476
1.01,-25.983310579006343,-23.59202314843817
1.02,-24.160108291193183,-23.521067468983745
1.03,-14.336906003379909,-23.305989133311858
1.04,-7.5137037155667485,-22.970275714029615
1.05,-6.690501427753588,-22.537657890222636
1.06,-4.8672991399403145,-22.031099111779813
1.07,-6.044096852127154,-21.471918660837712
1.08,-4.22089456431388,-20.879100391355376
1.09,-4.39769227650072,-20.268825206660427
1.1,-5.57448998868756,-19.65424719436994
1.11,-6.751287700874286,-19.04551325131829
1.12,-10.928085413061126,-18.45000614643695
1.13,-4.104883125247852,-17.872773316037634
1.14,-9.281680837434692,-17.317089920419846
1.15,-5.458478549621418,-16.78509589389853
1.16,-3.635276261808258,-16.278443316858198
1.17,-1.8120739739950977,-15.798892272934971
1.18,-3.988871686181824,-15.348799864859117
1.19,-2.1656693983686637,-14.931457470258641
1.2,-4.34246711055539,-14.551244783580081
1.21,-8.51926482274223,-14.213584882038287
1.22,-4.696062534929069,-13.924701611146437
1.23,-2.8728602471157956,-13.691197999518643
1.24,-0.04965795930263539,-13.519490923184472
1.25,-1.2264556714893615,-13.415151355543204
1.26,0.5967466163237987,-13.382209741968108
1.27,1.4199489041369588,-13.422491103002718
1.28,0.24315119195023271,-13.535043729985322
1.29,3.066353479763393,-13.715718775852737
1.3,-0.11044423242333323,-13.956946252649002
1.31,1.712758055389827,-14.247737030758184
1.32,-5.464039656797013,-14.573921907448481
1.33,-5.640837368983739,-14.918619462624921
1.34,-1.8176350811705788,-15.26290611445424
1.35,-7.994432793357305,-15.586646217734014
1.36,-9.171230505544145,-15.869428492446787
1.37,-5.348028217730871,-16.091548278036573
1.38,-8.52482592991771,-16.234973311077216
1.39,-8.70162364210455,-16.28423368852756
1.4,-7.878421354291277,-16.227183772408683
1.41,-8.055219066478116,-16.055594071982355
1.42,-3.2320167786648426,-15.765543472858676
1.43,-3.4088144908516824,-15.357595353632632
1.44,-3.5856122030385222,-14.836753962985966
1.45,-1.7624099152252484,-14.212208950943872
1.46,0.060792372587911814,-13.496885551414284
1.47,-8.116005339598814,-12.706825427872419
1.48,-1.2928030517856541,-11.860428819582141
1.49,-2.469600763972494,-10.977592775112027
1.5,-3.64639847615922,-10.078783360959912
1.51,-2.82319618834606,-9.184082053734745
1.52,6.099467213971366e-06,-8.312248096845293
1.53,-1.1767916127196258,-7.479839253731389
1.54,-0.35358932490646566,-6.700432807058779
1.55,1.4696129629068082,-5.983986449638462
1.56,3.2928152507199684,-5.336374498595884
1.57,6.116017538533242,-4.75912832590761
1.58,8.939219826346402,-4.249400874873415
1.59,8.762422114159676,-3.800163715186764
1.6,4.5856244019728365,-3.4006317521517624
1.61,5.408826689785997,-3.03689639333542
1.62,3.2320289775992705,-2.6927340561422395
1.63,1.0552312654124307,-2.3505449272112395
1.64,3.8784335532257046,-1.992368254628365
1.65,0.7016358410388648,-1.6009160988812339
1.66,5.524838128852025,-1.1605677055895478
1.67,2.348040416665299,-0.6582712044470949
1.68,7.171242704478459,-0.0843074138610371
1.69,6.994444992291733,0.567118935319194
1.7,7.817647280104893,1.2974834435555893
1.71,9.640849567918053,2.103752720611
1.72,13.464051855731327,2.9784013949258843
1.73,9.287254143544487,3.909625838597599
1.74,12.110456431357761,4.881737435651737
1.75,13.933658719170921,5.87571271218724
1.76,14.756861006984195,6.869874016755344
1.77,14.580063294797355,7.840672357502517
1.78,12.403265582610516,8.763543070388467
1.79,13.22646787042379,9.613804791335681
1.8,19.04967015823695,10.367572340527962
1.81,17.872872446050224,11.002654322347913
1.82,12.696074733863384,11.499406422351711
1.83,18.519277021676544,11.841511640003159
1.84,12.342479309489818,12.016659197746804
1.85,15.165681597302978,12.017094802455516
1.86,18.988883885116252,11.840016587278642
1.87,19.812086172929412,11.487793880142288
1.88,18.635288460742572,10.967990493040329
1.89,20.458490748555846,10.293180983376889
1.9,18.281693036369006,9.480557448271584
1.91,16.10489532418228,8.551335513074633
1.92,15.92809761199544,7.5299804031923125
