Frequency,Amplitude
0.0,58.63370094068488
0.04555808656036447,103.73856856771471
0.09111617312072894,35.43577377853927
0.1366742596810934,10.90337913407906
0.18223234624145787,23.262178341600894
0.22779043280182235,11.829909843895528
0.2733485193621868,11.738373489719585
0.31890660592255127,10.603645801347211
0.36446469248291574,3.0834401123999746
0.4100227790432802,7.873623330387438
0.4555808656036447,2.0380191421182263
0.5011389521640092,7.6980595043035365
0.5466970387243736,6.962285517750426
0.5922551252847381,2.5450637369709392
0.6378132118451025,5.214414090116149
0.6833712984054671,2.9179335554337547
0.7289293849658315,10.855363310527329
0.7744874715261959,42.39258084987265
0.8200455580865604,37.295670033540546
0.8656036446469249,9.254437131291617
0.9111617312072894,3.559911393914103
0.9567198177676538,3.1034582403138695
1.0022779043280183,4.024925209516848
1.0478359908883828,0.35419652539933666
1.0933940774487472,1.274138914481206
1.1389521640091116,0.6746882889553262
1.1845102505694762,2.722661513194325
1.2300683371298406,2.9820113240000543
1.275626423690205,1.524047959605416
1.3211845102505695,1.7723958817505565
1.3667425968109341,2.2658104888909465
1.4123006833712985,2.22019451454915
1.457858769931663,1.7238085028261216
1.5034168564920274,3.9289645852477424
1.5489749430523918,14.167647408456382
1.5945330296127564,20.902318078397673
1.6400911161731209,9.064116557766782
1.6856492027334853,3.295421203471894
1.7312072892938497,2.6731142018492187
1.7767653758542143,3.401896060772953
1.8223234624145788,3.0179918392142517
1.8678815489749432,0.9214222128853725
1.9134396355353076,1.3144794431867244
1.958997722095672,1.0966583144641977
2.0045558086560367,1.2823514120670159
2.050113895216401,0.91095524484446
2.0956719817767655,1.4321758456417608
2.14123006833713,2.4785884098436854
2.1867881548974943,3.0454705888053355
2.2323462414578588,2.790990853399035
2.277904328018223,2.266240878734062
2.323462414578588,4.6611193103662965
2.3690205011389525,11.209492730286144
2.414578587699317,8.81539594373884
2.4601366742596813,3.072286134251472
2.5056947608200457,4.10813299424555
2.55125284738041,3.1177303782090804
2.5968109339407746,3.872554296061805
2.642369020501139,1.909684630816481
2.6879271070615034,2.2650299788376165
2.7334851936218683,2.452326343615714
2.7790432801822327,2.297389063768679
2.824601366742597,1.7436366580393188
2.8701594533029615,2.930146985910917
2.915717539863326,3.6832857660268146
2.9612756264236904,4.579168912434585
3.0068337129840548,4.767811516076198
3.052391799544419,3.663995892794041
3.0979498861047836,3.351467623904014
3.1435079726651485,7.818788938133814
3.189066059225513,10.291653148370832
3.2346241457858773,3.0443373086185215
3.2801822323462417,4.181835558710054
3.325740318906606,3.04599185847251
3.3712984054669706,3.180129457957191
3.416856492027335,1.9919380780740843
3.4624145785876994,1.2637691323087534
3.507972665148064,1.0562808771029801
3.5535307517084287,1.0228348395512428
3.599088838268793,0.49198778374687874
3.6446469248291575,0.7729907210145581
3.690205011389522,1.7556960320793837
3.7357630979498864,2.1365160486275796
3.781321184510251,2.3530296373323045
3.826879271070615,2.157230720892465
3.8724373576309796,1.6185639169150898
3.917995444191344,2.3372092839316747
3.963553530751709,4.52972105835734
4.009111617312073,3.6174638821383085
4.054669703872437,1.9623106985259202
4.100227790432802,1.9640658922975496
4.145785876993166,2.0284288353404483
4.191343963553531,2.340119259592567
4.236902050113896,1.41300058651206
4.28246013667426,1.2761254597381129
4.328018223234625,0.7852711291368117
4.373576309794989,0.7238063452959287
4.4191343963553535,1.1854164773871665
4.4646924829157175,2.160434381850668
4.510250569476082,2.18404799814537
4.555808656036446,2.4430086602529935
