337.00	2372.00	33.00	108.00	1988.00	453.00	30.00	2103.00	72.00	848.00	3566.00	1909.00	795.00	100.00
339.00	2376.00	34.00	106.00	2004.00	465.00	32.00	2114.00	77.00	845.00	3566.00	1914.00	656.00	100.00
334.00	2375.00	34.00	107.00	2024.00	477.00	30.00	2121.00	81.00	838.00	3565.00	1937.00	777.00	100.00
334.00	2382.00	36.00	108.00	2044.00	494.00	29.00	2129.00	84.00	832.00	3568.00	1936.00	856.00	100.00
348.00	2394.00	28.00	112.00	2049.00	507.00	32.00	2142.00	69.00	829.00	3571.00	1928.00	824.00	100.00
356.00	2410.00	30.00	114.00	2058.00	510.00	32.00	2153.00	73.00	836.00	3570.00	1941.00	723.00	100.00
359.00	2413.00	29.00	114.00	2062.00	520.00	30.00	2160.00	75.00	836.00	3570.00	1947.00	786.00	100.00
362.00	2421.00	32.00	110.00	2059.00	522.00	32.00	2158.00	69.00	842.00	3571.00	1976.00	722.00	100.00
370.00	2428.00	34.00	112.00	2064.00	523.00	32.00	2161.00	72.00	847.00	3572.00	1968.00	747.00	100.00
377.00	2430.00	32.00	112.00	2073.00	531.00	33.00	2156.00	80.00	867.00	3577.00	1971.00	741.00	100.00
369.00	2431.00	34.00	124.00	2073.00	542.00	33.00	2162.00	84.00	841.00	3578.00	1985.00	739.00	100.00
369.00	2431.00	32.00	121.00	2079.00	541.00	33.00	2164.00	87.00	844.00	3578.00	1994.00	740.00	100.00
373.00	2429.00	34.00	121.00	2076.00	550.00	32.00	2167.00	87.00	860.00	3571.00	1996.00	739.00	100.00
374.00	2429.00	33.00	116.00	2080.00	555.00	34.00	2176.00	83.00	861.00	3575.00	1982.00	738.00	100.00
384.00	2427.00	33.00	120.00	2083.00	563.00	33.00	2178.00	86.00	843.00	3574.00	1964.00	736.00	100.00
384.00	2430.00	33.00	112.00	2085.00	565.00	33.00	2198.00	86.00	833.00	3570.00	1942.00	734.00	100.00
388.00	2431.00	36.00	113.00	2082.00	573.00	33.00	2197.00	91.00	826.00	3571.00	1948.00	734.00	100.00
388.00	2437.00	36.00	116.00	2082.00	574.00	34.00	2196.00	89.00	824.00	3571.00	1941.00	734.00	100.00
388.00	2438.00	37.00	114.00	2085.00	574.00	34.00	2202.00	90.00	817.00	3571.00	1949.00	733.00	100.00
394.00	2438.00	38.00	113.00	2089.00	598.00	32.00	2210.00	95.00	827.00	3570.00	1942.00	732.00	100.00
